News,Category
பல லட்சம் அரசு ஊழியர்களுக்கு.. தமிழக அரசு அனுப்பிய 4 மெசேஜ்.. இதைவிட ஹாப்பி நியூஸ் இருக்க முடியாதே!,politics
"ரம்பை, ஊர்வசிலாம் ஓரமாதான் நிக்கணும்! காஸ்ட்லியான சொகுசு காரை வாங்கனது அவங்களா! அவங்கள மாதிரியே காரும் அழகு!",cinema
AFG vs SA: எல்லை மீறிய ஆப்கானிஸ்தான் கேப்டன்.. சக வீரர்களை பார்த்து செய்த செயல்.. என்ன நடந்தது?,sports
ஆதார் கார்டில் பிறந்த தேதி தவறாக உள்ளதா? உடனே இதை செய்யுங்க.. இல்லன்னா அரசு சலுகைகள் கிடைக்காது!,misc
இது என்ன அரசர் மாளிகையா? லோக்சபாவில் இருந்து செங்கோலை அகற்ற சபாநாயகருக்கு சமாஜ்வாதி எம்பி கடிதம்,politics
உங்கள் கனவில் சிவன் கோயிலோ சிவ லிங்கமோ வந்தால் என்ன பலன்? நன்மையா தீமையா?,spiritual
"அம்பானி மனைவி அசத்திட்டாங்க.. டிபன் கடையில் அந்த உருளைக்கிழங்கு.. அதுவிடுங்க, ""இந்தியா இல்லம்"" சபாஷ்",misc
உச்சகட்ட பாதுகாப்பு! பிரபல நடிகர் வீட்டிற்கு 10 கோடி ரூபாய் காரில் வந்தது அவரா! அடுத்த மாசம் ஒன்னு கூட போறாங்க!,cinema
கோவை நிமிர்கிறது.. கொட்டப்படும் தமிழக அரசின் நிதி.. சென்னை அடுத்து கோயம்புத்தூர் தான்.. பலே வளர்ச்சி,politics
"சென்னை, மதுரை, கோவை.. மக்களின் பல வருட ஏக்கம்.. இந்த ஒரு போட்டோவை பாருங்க.. மனசு ஆறிடும்!",country
அதானி-யை முந்திக்கொண்ட பிர்லா.. CSK உரிமையாளரான இந்தியா சிமெண்ட்ஸ் பங்குகள் அதிரடி விற்பனை..!!,economics
"AFG vs SA: எனக்குன்னே வருவீங்களா டா.. ""காது கேட்காத"" விக்கெட் கீப்பர்.. கடுப்பான கேப்டன் ரஷித் கான்",sports
அங்கதான் ட்விஸ்ட்.. ஓசூர் விமான நிலையம் இப்போ வராது.. 2033ல் தான் வருமா? பின்னணியில் அந்த ஒப்பந்தம்!,politics
பெரும்பாக்கம் ஹவுசிங் போர்டு சுசிக்கு அவ்வளவு ஆனந்தம்.. கணவனை இழந்த பெண்களுக்கு தேடி வந்த உதவி,politics
வெளியானது அறிவிப்பு.. மகளிர் உரிமை தொகை திட்டத்தில் விரிவாக்கம் எப்போது? விதிமுறைகள் வெளியீடு!,politics
சென்னைக்கு அருகே.. அனைத்து வசதிகளுடன் பிளாட்கள்! ரூ.22 லட்சத்தில் பூர்வ சௌக்கியம் வழங்குகிறது,ad
IND vs ENG: செமி பைனலுக்கு போகும் இரண்டு அணிகள் எவை? இந்தியாவுக்கு வாய்ப்பு இருக்கா? முடிவு இதுதான்,sports
Tamannaah: 7ம் வகுப்பு பாட புத்தகத்தில் தமன்னா குறித்த பாடம்.. கடுப்பான பெற்றோர்!,cinema
ரூ. 2000 கோடி முதலீட்டில் 3வது ஆலையை தொடங்கும் ஏதர் நிறுவனம்.. சுற்றுச்சூழல் பாதுகாப்பு மேம்படுமா?,economics
கல்யாணத்துக்கு பத்திரிக்கை அனுப்ப சொன்னா மினி கோயிலையே அனுப்பி வச்சி இருக்காங்க!!,politics
சந்தானம் ஹீரோவாக நடித்த ஹிட் & பிளாப் படங்களின் பட்டியல்,cinema
உயிரை பறிக்க காத்திருக்கும் இதய நோய்! கடுமையாக போராடும் குழந்தை நிலவழகி.. காப்பாற்ற உதவுங்கள்,ad
கல்கி 2898 திரைப்படத்திற்காக நடிகர் பிரபாஸ் மேற்கொண்ட டயட் மற்றும் ஃபிட்னஸ் ரகசியங்கள்!,cinema
அதிமுகவுடன் கூட்டணி வைக்கும் நாம் தமிழர் சீமான்.. திமுக கூட்டணியை வீழ்த்துமா? நம்பர்ஸ் சொல்வது என்ன?,politics
பள்ளி புத்தகத்தில் தமன்னா குறித்த பாடம்! கர்நாடகாவில் கொந்தளிக்கும் பெற்றோர்! பள்ளி நிர்வாகம் மவுனம்,cinema
"நில வகைப்பாடு.. வீட்டுமனை பிரிவு.. மறுபடியும் கையில் ""லெட்டருடன்"" கோட்டைக்கு கிளம்பிய பெயிரா.. அடடே",politics
சென்னைக்கு அருகில் ரூ.39.99 லட்சத்தில் பிளாட்கள்! அசத்தலாக வழங்கும் TVS லேக் ஷோர்! மிஸ் பண்ணிடாதீங்க,ad
IND vs ENG: இந்தியாவுக்கு ஒரு நியாயம்.. மத்த டீமுக்கு ஒரு நியாயமா? உலகக்கோப்பையில் வெடித்த சர்ச்சை,sports
பரோட்டா பிரியர்களா நீங்கள்? சாப்பிட சிறந்த நேரம் எது தெரியுமா? ஆனால் இந்த நேரத்தில் மட்டும் தொட்டுக்கூட பாத்துறாதீங்க..!,misc
மது போதையில் 3வயது மகளுடன் கடை வாசலில் படுத்திருந்த இளைஞன்,politics
"வாக்கு வாதத்தில் ரசிகர்கள்! சொதப்பிய கல்கி 2898 ஏ.டி டீம்! சென்னை, புனே ஐமேக்ஸ் முதல் காட்சி ரத்து!",cinema
10.5% இடஒதுக்கீட்டுக்கு ஜாதிவாரி கணக்கெடுப்பு எதற்கு? ஏமாற்றுவதுதான் உங்கள் தொழிலா? சீறிய அன்புமணி,politics
"தமிழகத்தில் மணல் கொள்ளை: ரூ 4,730 கோடி மோசடி! டிஜிபிக்கு அமலாக்கத் துறை பரபரப்பு கடிதம்",politics
"வேல்ஸ் இன்ஸ்டிடியூட் வழங்கும் 100% கல்வி ஊக்கத்தொகை.. திருநங்கைகள், தமிழ் அகதிகளுக்கு ஜாக்பாட்",ad
தொங்கிய தலை.. துண்டான கால்.. உருகிய ஆபிரகாம் லிங்கனின் சிலை.. அமெரிக்காவில் இந்த கொடுமையை பாருங்க,politics
அரசு வேலைக்கான போட்டி தேர்வு எழுத போறீங்களா? தமிழக அரசின் ஸ்வீட் சர்ப்ரைஸ்.. அசத்தல் யோசனை,politics
திருமணம் முடிந்த பெண்களுக்கு வேலை இல்லை? மீண்டும் சர்ச்சையில் பாக்ஸ்கான்! தமிழக அரசுக்கு நோட்டீஸ்,politics
"கன்னியாகுமரி ஆடிப்போச்சு.. தாலி கட்டி மாமியார் வீட்டுக்குள் நுழைந்ததுமே.. ""மாமியார்"" வீடு போன போலீஸ்",politics
அங்கதான் ட்விஸ்ட்.. ஓசூர் விமான நிலையம் இப்போ வராது.. 2033ல் தான் வருமா? பின்னணியில் அந்த ஒப்பந்தம்!,country
"""இந்தியாவில் உச்சத்தில் முஸ்லீம், கிறிஸ்தவர்கள் மீதான தாக்குதல்கள்.."" அமெரிக்கா பரபர ரிப்போர்ட்",politics
நாகர்கோவில் டூ சென்னை சோதனை ஓட்டம்.. வந்தே பாரத் வந்த வேகம்.. துள்ளி குதிக்கும் தென் மாவட்ட பயணிகள்,country
"அதிமுகவை வெளிப்படையாக கூட்டணிக்கு அழைத்த சீமான்! கூடவே வருகிறார் விஜய்? எடப்பாடி ""முக்கோண"" வியூகம்?",politics
"அடி சக்க.. ஒரே நாளில் 3 முக்கிய குறியீடுகள் உச்சம்.. சென்செக்ஸ் 79,000 புள்ளிகளை கடந்தது..!",economics
"""கவிழும் மகாராஷ்டிரா பாஜக அரசு?"" கூட்டணிக்குள் வெடித்த மிக பெரிய மோதல்.. அடுத்த ட்விஸ்ட் ரெடி",politics
IND vs ENG: எதிர்பார்க்காத ட்விஸ்ட்.. 4வது ஸ்பின்னரை இறக்கப் போகும் ரோஹித்? பிளேயிங் 11 மாறுமா?,sports
IND vs ENG: இந்தியாவுக்கு ஒரு நியாயம்.. மத்த டீமுக்கு ஒரு நியாயமா? உலகக்கோப்பையில் வெடித்த சர்ச்சை,sports
ஆப்கானிஸ்தானுக்கு ஐசிசி செய்த துரோகம்.. தோல்விக்கு இது தான் காரணம்.. உண்மையை புட்டு வைத்த வாஹன்,sports
சட்டம் ஒழுங்கு என்னாச்சு? அடித்தே கொல்லப்பட்ட வடஇந்தியர்.. கலங்கிய கரூர்.. தமிழ்நாட்டில் இப்படியா?,politics
ரூ.100 கோடி நில அபகரிப்பு: தப்பி ஓடிய அதிமுக மாஜி அமைச்சர் எம்ஆர் விஜயபாஸ்கர்- கைது செய்ய போலீஸ் வலை!,politics
வேறு பெண்ணுடன் நிச்சயம்! ஆபாச படங்களை காட்டி மிரட்டிய காதலன்! ஆசிட் பாட்டில் கொடுத்தனுப்பிய காதலி,misc
இந்தியன் 3 இப்படித்தான் உருவானது.. முதன்முறையாக மனம் திறந்த இயக்குநர் ஷங்கர்,cinema
திருப்பதியில் முடிக்காணிக்கை செலுத்திய பிரபல பாடகி.. பக்தி பாடலை பாடியபடி வந்தார்!,cinema
IT ஊழியர்களுக்கு ஷாக் கொடுக்க வரும் GenAI.. இதனால் எக்கச்சக்க நேரம் மிச்சமாம்! வெளியான ரிப்போர்ட்!,tech
"நீ எப்படி வேண்டுமானலும் பிட்ச் ரெடி பண்ணு, நான் பார்த்துக்கிறேன்.. கோலி, ரோகித் ஸ்பெஷல் பயிற்சி",sports
வெள்ளை ஏசியை விட இந்த கருப்பு AC-க்கு பவர் ஜாஸ்தி.. ஆனா கரண்ட் பில் கம்மி.. எந்த Haier மாடல்? என்ன விலை?,ad
சின்னத்துக்கு வாக்கு இல்லை.. எண்ணத்துக்கே ஓட்டு! ஓட்டுகளை அள்ளிய ’மைக்’.. ஆமா ‘விவசாயி’ என்ன ஆனார்?,politics
6 பேர் சொகுசா போலாம்... 27 கிமீ மைலேஜ் தரும்... இப்படி ஒரு காரை வாங்கவா ஆள் இல்லாம போச்சு!,ad
குணமடைந்த 93 பேர் வீடு திரும்பினர்.. கள்ளச்சாராயம் குடித்து பாதிக்கப்பட்டோரில் 69 பேருக்கு சிகிச்சை!,politics
"திமுக, அதிமுகதான் இப்படின்னா.. இவருமா? விஜய்க்காக வைக்கப்பட்ட பேனரால் விபரீதம்! உயிர் தப்பிய சிறுவன்",politics
‛ஏய் தம்பி.. தம்பி’.. சிறுவன் மீது சரிந்து விழுந்த நடிகர் விஜயின் பிறந்தநாள் பேனர்! கடும் எதிர்ப்பு,cinema
லாஜிக் இருக்கா சார்? உங்களுக்கு தெரியாம எப்படி? கடுகடுத்த குஷ்பு! கலங்கிய கள்ளக்குறிச்சி போலீஸார்,politics
சட்டம் ஒழுங்கு என்னாச்சு? அடித்தே கொல்லப்பட்ட வடஇந்தியர்.. கலங்கிய கரூர்.. தமிழ்நாட்டில் இப்படியா?,politics
ரூ.100 கோடி நில அபகரிப்பு: தப்பி ஓடிய அதிமுக மாஜி அமைச்சர் எம்ஆர் விஜயபாஸ்கர்- கைது செய்ய போலீஸ் வலை!,politics
வேறு பெண்ணுடன் நிச்சயம்! ஆபாச படங்களை காட்டி மிரட்டிய காதலன்! ஆசிட் பாட்டில் கொடுத்தனுப்பிய காதலி,politics
மாமியார் பார்த்துட்டாங்க.. கிருஷ்ணகிரி பவித்ரா ஆடு மேய்க்க போனாராம்! பக்கத்து வீட்டுக்காருடன் சேட்டை,politics
இன்றைய பஞ்சாங்கம்,spiritual
ஜென்ம நட்சத்திர பலன்கள்,spiritual
இந்த வார ராசி பலன்,spiritual
இன்றைய ராசி பலன்கள்,spiritual
யாருடைய ராசிக்கு நாளை என்ன பலன்?,spiritual
இந்த மாதம் சனி வக்ரபெயர்ச்சி.,spiritual
"ஆந்திராவில் 41,000 ஆண்டுகள் பழமையான நெருப்புக்கோழியின் கூடு கண்டுபிடிப்பு! ஆச்சரியத்தில் ஆய்வாளர்கள்",misc
நாரா லோகேஷ் 2.0! எரியும் அடுப்பின் மீது அமர்ந்திருக்கும் அமைச்சர்! சாதிப்பாரா?,politics
இப்படியா சாவு வரணும்! அப்படியே விழுந்த மிடில் பெர்த்! கழுத்து எலும்பு உடைந்து ரயில் பயணி பலி,misc
சிரஞ்சீவிக்கு நேர்ந்த அவமானம்! தம்பிக்கு விழா; அண்ணனுக்கு மரியாதை! பவன் பச்சைக் கொடி!,cinema
பிஜேபிக்கு ஏன் ஓட்டுப்போட்டே? கணவன் சொன்ன தலாக்?.. போலீஸுக்கு போன மனைவி.. பரபரக்குது மத்திய பிரதேசம்,politics
பஞ்சாப்: அகாலி தளத்தில் சடுகுடு ஆடுதா பாஜக? பாதல் பதவி விலக சீனியர் 'தலை'கள் போர்க்கொடி!,politics
900 ஹஜ் பயணிகள் பலி.. அடுத்தடுத்து உயிரை குடிக்கும் கொடூர வெயில்.. சவுதி அரேபியாவில் பெரும் சோகம்,politics
வெளிநாடுகளில் மருத்துவ படிப்பு.. ரஷ்யா முதல் திமோர்-லெஸ்டே நாடு வரை .. எதார்த்தம் என்ன?,politics
நேற்று வடகொரியா.. இன்று வியட்நாம்! தென்கிழக்கு ஆசிய நாடுகளுக்கு புதின் விசிட்.. அமெரிக்கா சந்தேகம்,politics
இலங்கையில் மத்திய வெளியுறவுத் துறை அமைச்சர் ஜெய்சங்கர்! ரணில் விக்கிரமசிங்கேவுடன் சந்திப்பு!,politics
26 டிகிரிக்கே வெப்ப அலை வார்னிங்கா? எங்க ஊர் ஏசி டெம்பரேச்சர் இது.. இங்கிலாந்தை கலாய்த்த நெட்டிசன்ஸ்,politics
"ஷாக்.. ""ஹஜ் புனித யாத்திரை சென்ற 64 இந்தியர்கள் திடீர் மரணம்.."" கடும் வெயில் காரணம்!",politics
IT ஊழியர்களுக்கு ஷாக் கொடுக்க வரும் GenAI.. இதனால் எக்கச்சக்க நேரம் மிச்சமாம்! வெளியான ரிப்போர்ட்!,tech
வர வர காதல் கசக்குதையா! டேட்டிங் ஆப் மோசடிகள் மூலம் ரூ. 200 கோடி அபேஸ்.. வெளியான ஷாக் ரிப்போர்ட்!,misc
கல்விக் கடன் வாங்கப் போறீங்களா? சிறந்த வட்டி விகிதங்களைத் தரும் முன்னணி வங்கிகள்! செம வாய்ப்பு!,education
வெளிநாடுகளில் படிக்க இத்தனை லட்சமா? முக்கிய நாடுகளில் ஒரு ஆண்டுக்கான கல்வி செலவு எவ்வளவு தெரியுமா?,education
கேம்பஸில் வேலை கிடைக்காத மாணவர்கள் எண்ணிக்கை இவ்வளவா? IIT-க்களுக்கே இந்த நிலையா?,education
"வெறும் ரூ.11,999-த்திற்கு Redmi அறிமுகப்படுத்திய ஸ்மார்ட் TV.. இவ்வளவு அம்சங்களா? ஆச்சரியமா இருக்கே!",tech
லண்டனில் விஜயகுமார் குடும்ப பங்க்ஷன்.. ஆனால் மஞ்சுளாவின் மகள்கள் மிஸ்ஸிங்.. கேப்ஷனை கவனித்தீர்களா?,cinema
கோபிக்கு அப்பா விட்ட சாபம் பலித்தது.. பாக்யா எடுத்த முடிவு.. கையில் பைலுடன் ராதிகா கொடுத்த அதிர்ச்சி,cinema
சிறகடிக்க ஆசை: பிளாஷ்பேக் பற்றி பேசி முத்து கேட்ட கேள்வி! அழுத அண்ணாமலை.. மனோஜ் கொடுத்த அதிர்ச்சி,cinema
நடிகர் சுமன் விவகாரத்தில் போலீஸாருடன் கருணாநிதியே வாக்குவாதம் செய்தாராமே? சுவாரஸ்ய சம்பவம்!,cinema
பாக்கியலட்சுமி: போலீசிடம் சிக்கிய கோபி.. கடும் கோபத்தில் ராதிகா காப்பாற்ற போவது யாரு? செம டுவிஸ்ட்,cinema
பல நாள் கனவு நிறைவேறியது.. நிஜ வாழ்க்கையில் சாதித்த ஹரிப்பிரியா.. புது முயற்சிக்கு குவியும் வாழ்த்து,cinema
வேலையில்லா பட்டதாரி படம் நான் பண்ண வேண்டியது.. சூட்டிங் ஸ்பாட்டில் நடந்த செயல்! வசந்த் வசி ஓப்பன்,cinema
எதிர்நீச்சல் 2 எப்போ வரும்? குமுறும் ரசிகர்கள்.. போட்டோவுடன் போஸ்ட் போட்ட திருச்செல்வம்.. செம பஞ்ச்,cinema
நடிகை கார்த்திகா நாயர் வீட்டில் விசேஷம்.. வாழ்த்து தெரிவித்த அம்மா ராதா.. க்யூட்டான கேப்ஷன்,cinema
"கை, கால் செயலிழந்த நடிகர் வெங்கல் ராவ்விற்கு நிதி உதவி வழங்கிய சிம்பு.. அதுவும் எவ்வளவு தெரியுமா?",cinema
ப்ளூ சட்டை மாறனால் பாராட்டபட்ட சரத்குமார் படம்.. இது நம்ம லிஸ்ட்லயே இல்லையே!,cinema
Kalki 2898 AD.. கமல் ரசிகர்களை மிரட்டுகிறார்களா பிரபாஸ் ரசிகர்கள்?.. ப்ளூ சட்டை மாறன் கலாய் ட்வீட்,cinema
தளபதி விஜய்யின் தவெகவில் இணைகிறாரா த்ரிஷா? என்னங்க புதுசு புதுசா சொல்றீங்க!,cinema
மகளால் வந்த பிரச்னையா? ரஜினிக்கு விபூதி அடிக்க பார்க்கிறதா லைகா? வேட்டையன் படத்தில் புது சிக்கல்!,cinema
கரகாட்டக்காரி கனகாவின் லேட்டஸ்ட் வெர்ஷன் இவங்க தான்.. ராஷ்மிகா மந்தனா தலையில என்ன இருக்கு பாருங்க!,cinema
கல்கி படத்தில் இத்தனை பிரபலங்கள் கேமியோவா?.. இவங்களை எல்லாம் புரமோஷனுக்கு யூஸ் பண்ணியிருக்கலாமே,cinema
Kalki 2898 AD படம் எப்படி இருக்கு?.. தெறிக்கவிடும் ட்விட்டர் விமர்சனம்.. பாஸா ஃபெயிலா?,cinema
"விஜய், அஜித் ரசிகர்களை ஓரம் கட்டும் பிரபாஸ் ரசிகர்கள்.. என்னப்பா இப்படியெல்லாம் செய்றாங்க!",cinema
காலா பட ஸ்டைலில் ரஜினி அதிரடி.. லுக் டெஸ்ட் ஓவர்.. சூட்டிங் அப்டேட் கொடுத்த லோகேஷ்!,cinema
விடாமுயற்சியால் வந்த வினை.. ’கோட்’ படத்தின் ஓடிடி இன்னமும் விற்பனை ஆகலையா?.. உஷாரான நெட்பிளிக்ஸ்!,cinema
ஷங்கர் பதறிய மாதிரி எனக்கும் பதறுது.. இந்தியன் 2 படத்தின் அடுத்தடுத்த பாகங்கள் குறித்து கமல் ஓபன்!,cinema
கிச்சானாலே இளிச்சவாயன் தானா?.. இப்போ மட்டும் அந்த நடிகை சைலன்ட்டா இருப்பது ஏன்?.. பொங்கிய வில்லன்!,cinema
தள்ளிவிடப்பட்ட மாற்றுத்திறனாளி ரசிகரைச் சந்தித்த நாகர்ஜுனா! மன்னிப்பு கேட்டாரா? ட்ரெண்டாகும் வீடியோ,cinema
இந்தியன் 2 தாத்தாவிற்கு 106 வயசாச்சே.. லாஜிக் இடிக்குதே.. விளக்கம் கொடுத்த ஷங்கர்!,cinema
நான் உடலுறவு வைத்து 9 ஆண்டுகள் ஆகிறது.. இர்ஃபான் பதான் என்னை ஏமாத்திட்டாரு.. பிரபல நடிகை பகீர்!,cinema
நீங்களும் நாடக காதல்தான் செஞ்சீங்களா சார்?.. கருத்து சொன்ன ரஞ்சித்தை வறுத்தெடுக்கும் ரசிகர்கள்,cinema
என்ன மனுஷன் ப்பா.. வடிவேலுவே கண்டுக்கல.. வெங்கல் ராவுக்கு உதவிய KPY பாலா,cinema
இந்த வயதிலும் இளம் ஹீரோயின்களுக்கு டஃப் கொடுக்கும் மீனா.. மாடர்ன் உடையில் மனதை மயக்குறாரே,cinema
ஆந்திராவை தவிர்த்து கல்கி படத்துக்கு ஹைப்பே இல்லையா?.. புக் மை ஷோவில் எல்லாமே பச்சையா இருக்கே!,cinema
திரிஷாவை கழட்டி விட்டு அந்த நடிகையை புக் செய்ய திட்டமிட்ட ஆர்ஜே பாலாஜி.. கடைசி நேரத்தில் என்ன ஆச்சு?,cinema
தயவு செஞ்சி அதமட்டும் பண்ணிடாதீங்க.. கடைசி நேரத்தில் கல்கி படக்குழு கோரிக்கை!,cinema
விஜய்யின் கோட் பட வெளிநாட்டு ரிலீஸ் உரிமை.. அட இதுலகூட கூட்டணியா?,cinema
இந்தியன் 2 டிரெய்லரில் வரும் தாத்தா சேனாபதியே இல்லையா?.. என்னடா புதுசு புதுசா டீகோட் பண்றீங்க!,cinema
ப்ளூ சட்டை மாறன் கிண்டலுக்கு தரமான பதிலடி கொடுத்த ஷங்கர்.. இந்தியன் தாத்தா வயது குறித்து விளக்கம்!,cinema
தேவர் மகன் படம் பற்றி கமல் ஹாசன் சொன்ன சீக்ரெட்.. அட செம ஸ்பீடா இருந்திருக்காரே ப்பா,cinema
போட்றா வெடிய.. தீபாவளிக்கு ரிலீசாகும் அஜித்தின் விடாமுயற்சி.. உறுதிப்படுத்திய தயாரிப்பாளர்!,cinema
கீர்த்தி சுரேஷுக்கா செம டஃப்...,cinema
இவ்வளவு சின்ன டிரெஸ்ஸா?.. ஜான்வி...,cinema
தாறுமாறு வளர்ச்சி.. தளபதியோட ஒரே...,cinema
அரை சதம் கடந்த அண்ணன்...,cinema
சர்வதேச யோகா தினம்.. மனைவியையும்...,cinema
காஜல் அகர்வால் மகன் எப்படி...,cinema
காலக்கொடுமை.. உள்ளாடை அணியாமல் உச்சகட்ட...,cinema
ஆப்கானிஸ்தானுக்கு ஐசிசி செய்த துரோகம்.. தோல்விக்கு இது தான் காரணம்.. உண்மையை புட்டு வைத்த வாஹன்,sports
AFG vs SA: எல்லை மீறிய ஆப்கானிஸ்தான் கேப்டன்.. சக வீரர்களை பார்த்து செய்த செயல்.. என்ன நடந்தது?,sports
IND vs ENG: கடைசி நேரத்தில் மைதானம் மாற்றப்பட்டது ஏன்? ஐசிசி செய்த தில்லு முல்லு.. மழை வைத்த ஆப்பு!,sports
"AFG vs SA: எனக்குன்னே வருவீங்களா டா.. ""காது கேட்காத"" விக்கெட் கீப்பர்.. கடுப்பான கேப்டன் ரஷித் கான்",sports
குளம் போல் மாறிய மைதானம்.. கயானா பிட்சில் சூழ்ந்த மழைநீர்.. இந்தியா - இங்கிலாந்து ஆட்டம் நடக்குமா?,sports
SA vs AFG : அரையிறுதி தோல்வியால் ஏமாற்றம் தான்.. மிடில் ஓவர் பேட்டிங்கில் பிரச்சனை.. ரஷித் கான்!,sports
AFG vs SA: எல்லை மீறிய ஆப்கானிஸ்தான் கேப்டன்.. சக வீரர்களை பார்த்து செய்த செயல்.. என்ன நடந்தது?,sports
"AFG vs SA: எனக்குன்னே வருவீங்களா டா.. ""காது கேட்காத"" விக்கெட் கீப்பர்.. கடுப்பான கேப்டன் ரஷித் கான்",sports
SA vs AFG : அரையிறுதி தோல்வியால் ஏமாற்றம் தான்.. மிடில் ஓவர் பேட்டிங்கில் பிரச்சனை.. ரஷித் கான்!,sports
ஓடியாங்க! ஓடியாங்க! தங்கம் விலை குறைஞ்சிருக்கு.. நகை பிரியர்களுக்கு செம சான்ஸ்!,economics
கிரெடிட் கார்டில் இருந்து 5 நிமிடத்தில் உங்கள் வங்கி கணக்குக்கு பணம் அனுப்பலாம்.. எளிய வழிகள்!,economics
IT துறையில் டிசிஎஸ் நிறுவனத்தின் புதிய முயற்சி.. இனி ஒர்க் ரொம்ப ஈசி!,tech
சாணக்கிய நீதி படி இந்த 3 கேள்விகளுக்கு பதில் கிடைக்காமல் யாரையும் திருமணம் செஞ்சுக்கணும்னு ஆசைப்படாதீங்க...!,economics
12 ஆண்டுகளுக்கு பின் ரிஷபத்தில் நிகழும் குரு செவ்வாய் சேர்க்கை: இந்த 3 ராசிக்கு பண மழை கொட்ட போகுது..,spiritual
இந்த பழக்கவழக்கங்கள் உள்ள ஆண்களை பெண்களுக்கு பிடிக்காதாம்..!,misc
வேர்க்கடலை சட்னியை ஒருடைம் இப்படி அரைச்சு பாருங்க... டேஸ்ட் இன்னும் வேற லெவல்-ல இருக்கும்...,health
உங்க முடி உதிர்வை குறைச்சு முடியை ஆலவிழுது மாதிரி வளர வைக்கணுமா? இந்த ஈஸியான ஹேர் மாஸ்க்குகளை யூஸ் பண்ணுங்க...,health
காலையில் லன்ச் பாக்ஸ்-க்கு குடைமிளகாயை வெச்சு இப்படியொரு ரைஸ் செஞ்சு குடுங்க.. பாக்ஸ் காலியா வரும்...,misc
உங்க வீட்டில் இந்த 6 ஓவியங்களில் ஒன்னு இருந்தாலும் உடனே தூக்கி போட்டுடுங்க... இல்லனா ரொம்ப கஷ்டப்படுவீங்க...!,misc
Today Rasi Palan 27 June 2024: இன்று இந்த ராசிக்காரர்களின் நிதி பிரச்சனைக்கு தீர்வு கிடைக்க வாய்ப்புள்ளது...,spiritual
இந்த காய்கறிகளை சரியா கழுவாம சாப்பிட்டால் புட் பாய்சனை உண்டாக்குமாம்... ஜாக்கிரதையா சாப்பிடுங்க...!,misc
திருமணத்திற்குப் பிறகு யாரிடமும் பகிரக் கூடாத விஷயங்கள் என்னென்ன?,misc
